Day,Confirmed,Recovered,Death,Confirmed_smooth,Recovered_Death,Recovered_Death_smooth
2020.02.24,221,1,7,221.0,0.0,0.0
2020.02.25,311,1,10,266.0,3.0,1.5
2020.02.26,385,3,12,305.6666666666667,4.0,2.3333333333333335
2020.02.27,588,45,17,376.25,47.0,13.5
2020.02.28,821,46,21,465.2,5.0,11.8
2020.02.29,1049,50,29,562.5,12.0,11.833333333333334
2020.03.01,1577,83,34,707.4285714285714,38.0,15.571428571428571
2020.03.02,1835,149,52,938.0,84.0,27.571428571428573
2020.03.03,2263,160,79,1216.857142857143,38.0,32.57142857142857
2020.03.04,2706,276,107,1548.4285714285713,144.0,52.57142857142857
2020.03.05,3296,414,148,1935.2857142857142,179.0,71.42857142857143
2020.03.06,3916,523,197,2377.4285714285716,158.0,93.28571428571429
2020.03.07,5061,589,233,2950.5714285714284,102.0,106.14285714285714
2020.03.08,6387,622,366,3637.714285714286,166.0,124.42857142857143
2020.03.09,7985,724,463,4516.285714285715,199.0,140.85714285714286
2020.03.10,8514,1004,631,5409.285714285715,448.0,199.42857142857142
2020.03.11,10590,1045,827,6535.571428571428,237.0,212.71428571428572
2020.03.12,12839,1258,1016,7898.857142857143,402.0,244.57142857142858
2020.03.13,14955,1439,1266,9475.857142857143,431.0,283.57142857142856
2020.03.14,17750,1966,1441,11288.57142857143,702.0,369.2857142857143
2020.03.15,20603,2335,1809,13319.42857142857,737.0,450.85714285714283
2020.03.16,23073,2749,2158,15474.857142857143,763.0,531.4285714285714
2020.03.17,26062,2941,2503,17981.714285714286,537.0,544.1428571428571
2020.03.18,28710,4025,2978,20570.285714285714,1559.0,733.0
2020.03.19,33190,4440,3405,23477.571428571428,842.0,795.8571428571429
2020.03.20,37860,5129,4032,26749.714285714286,1316.0,922.2857142857143
2020.03.21,42681,6072,4825,30311.285714285714,1736.0,1070.0
2020.03.22,46638,7024,5476,34030.57142857143,1603.0,1193.7142857142858
2020.03.23,50418,7432,6077,37937.0,1009.0,1228.857142857143
2020.03.24,54030,8326,6820,41932.42857142857,1637.0,1386.0
2020.03.25,57521,9362,7503,46048.28571428572,1719.0,1408.857142857143
2020.03.26,62013,10361,8165,50165.857142857145,1661.0,1525.857142857143
2020.03.27,66414,10950,9134,54245.0,1558.0,1560.4285714285713
2020.03.28,70065,12384,10023,58157.0,2323.0,1644.2857142857142
2020.03.29,73880,13030,10779,62048.71428571428,1402.0,1615.5714285714287
2020.03.30,75528,14620,11591,65635.85714285714,2402.0,1814.5714285714287
2020.03.31,77635,15729,12428,69008.0,1946.0,1858.7142857142858
2020.04.01,80572,16847,13155,72301.0,1845.0,1876.7142857142858
2020.04.02,83049,18278,13915,75306.14285714286,2191.0,1952.4285714285713
2020.04.03,85388,19758,14681,78016.71428571429,2246.0,2050.714285714286
2020.04.04,88274,20996,15362,80618.0,1919.0,1993.0
2020.04.05,91246,21815,15887,83098.85714285714,1344.0,1984.7142857142858
2020.04.06,93187,22837,16523,85621.57142857143,1658.0,1878.4285714285713
2020.04.07,94067,24392,17127,87969.0,2159.0,1908.857142857143
2020.04.08,95262,26491,17669,90067.57142857143,2641.0,2022.5714285714287
2020.04.09,96877,28470,18279,92043.0,2589.0,2079.4285714285716
2020.04.10,98273,30455,18849,93883.71428571429,2555.0,2123.5714285714284
2020.04.11,100269,32534,19468,95597.28571428571,2698.0,2234.8571428571427
2020.04.12,102253,34211,19899,97169.71428571429,2108.0,2344.0
2020.04.13,103616,35435,20465,98659.57142857143,1790.0,2362.8571428571427
2020.04.14,104291,37130,21067,100120.14285714286,2297.0,2382.5714285714284
2020.04.15,105418,38092,21645,101571.0,1540.0,2225.285714285714
2020.04.16,106607,40164,22170,102961.0,2597.0,2226.4285714285716
2020.04.17,106962,42727,22745,104202.28571428571,3138.0,2309.714285714286
2020.04.18,107771,44927,23227,105274.0,2682.0,2307.4285714285716
2020.04.19,108257,47055,23660,106131.71428571429,2561.0,2372.1428571428573
2020.04.20,108237,48877,24114,106791.85714285714,2276.0,2441.5714285714284
2020.04.21,107709,51600,24648,107280.14285714286,3257.0,2578.714285714286
2020.04.22,107699,54543,25085,107606.0,3380.0,2841.5714285714284
2020.04.23,106848,57576,25549,107640.42857142857,3497.0,2970.1428571428573
2020.04.24,106527,60498,25969,107578.28571428571,3342.0,2999.285714285714
2020.04.25,105847,63120,26384,107303.42857142857,3037.0,3050.0
2020.04.26,106103,64928,26644,106995.71428571429,2068.0,2979.5714285714284
2020.04.27,105813,66624,26977,106649.42857142857,2029.0,2944.285714285714
2020.04.28,105205,68941,27359,106291.71428571429,2699.0,2864.5714285714284
2020.04.29,104657,71252,27682,105857.14285714286,2634.0,2758.0
2020.04.30,101551,75945,27967,105100.42857142857,4978.0,2969.5714285714284
2020.05.01,100943,78249,28236,104302.71428571429,2573.0,2859.714285714286
2020.05.02,100704,79914,28710,103568.0,2139.0,2731.4285714285716
2020.05.03,100179,81654,28884,102721.71428571429,1914.0,2709.4285714285716
2020.05.04,99980,82879,29079,101888.42857142857,1420.0,2622.4285714285716
2020.05.05,98467,85231,29315,100925.85714285714,2588.0,2606.5714285714284
2020.05.06,91528,93245,29684,99050.28571428571,8383.0,3427.8571428571427
2020.05.07,89624,96276,29958,97346.42857142857,3305.0,3188.8571428571427
2020.05.08,87961,99023,30201,95491.85714285714,2990.0,3248.4285714285716
2020.05.09,84842,103031,30395,93225.85714285714,4202.0,3543.1428571428573
2020.05.10,83324,105186,30560,90818.0,2320.0,3601.1428571428573
2020.05.11,82488,106587,30739,88319.14285714286,1580.0,3624.0
2020.05.12,81266,109039,30911,85861.85714285714,2624.0,3629.1428571428573
2020.05.13,78457,112541,31106,83994.57142857143,3697.0,2959.714285714286
2020.05.14,76440,115288,31368,82111.14285714286,3009.0,2917.4285714285716
2020.05.15,72070,120205,31610,79841.0,5159.0,3227.285714285714
2020.05.16,70187,122810,31763,77747.42857142857,2758.0,3021.0
2020.05.17,68351,125176,31908,75608.42857142857,2511.0,3048.285714285714
2020.05.18,66553,127326,32007,73332.0,2249.0,3143.8571428571427
2020.05.19,65129,129401,32169,71026.71428571429,2237.0,3088.5714285714284
2020.05.20,62752,132282,32330,68783.14285714286,3042.0,2995.0
2020.05.21,60960,134560,32486,66571.71428571429,2434.0,2912.8571428571427
2020.05.22,59322,136720,32616,64750.57142857143,2290.0,2503.0
2020.05.23,57752,138840,32735,62974.142857142855,2239.0,2428.8571428571427
2020.05.24,56594,140479,32785,61294.57142857143,1689.0,2311.4285714285716
2020.05.25,55300,141981,32877,59687.0,1594.0,2217.8571428571427
2020.05.26,52942,144658,32955,57946.0,2755.0,2291.8571428571427
2020.05.27,50966,147101,33072,56262.28571428572,2560.0,2223.0
2020.05.28,47986,150604,33142,54408.857142857145,3573.0,2385.714285714286
2020.05.29,46175,152844,33229,52530.71428571428,2327.0,2391.0
2020.05.30,43691,155633,33340,50522.0,2900.0,2485.4285714285716
2020.05.31,42097,157507,33415,48451.0,1949.0,2522.5714285714284
2020.06.01,41367,158355,33475,46460.57142857143,908.0,2424.5714285714284
2020.06.02,39893,160092,33530,44596.42857142857,1792.0,2287.0
2020.06.03,39297,160938,33601,42929.42857142857,917.0,2052.285714285714
2020.06.04,38429,161895,33689,41564.142857142855,1045.0,1691.142857142857
2020.06.05,36976,163781,33774,40250.0,1971.0,1640.2857142857142
2020.06.06,35877,165078,33846,39133.71428571428,1369.0,1421.5714285714287
2020.06.07,35262,165837,33899,38157.28571428572,812.0,1259.142857142857
2020.06.08,34730,166584,33964,37209.142857142855,812.0,1245.4285714285713
2020.06.09,32872,168646,34043,36206.142857142855,2141.0,1295.2857142857142
2020.06.10,31710,169939,34114,35122.28571428572,1364.0,1359.142857142857
2020.06.11,30637,171338,34167,34009.142857142855,1452.0,1417.2857142857142
2020.06.12,28997,173085,34223,32869.28571428572,1803.0,1393.2857142857142
2020.06.13,27485,174865,34301,31670.428571428572,1858.0,1463.142857142857
2020.06.14,26274,176370,34345,30386.428571428572,1549.0,1568.4285714285713
2020.06.15,25909,177010,34371,29126.285714285714,666.0,1547.5714285714287
2020.06.16,24569,178526,34405,27940.14285714286,1550.0,1463.142857142857
2020.06.17,23925,179455,34448,26828.0,972.0,1407.142857142857
2020.06.18,23101,180544,34514,25751.428571428572,1155.0,1364.7142857142858
2020.06.19,21543,181907,34561,24686.571428571428,1410.0,1308.5714285714287
2020.06.20,21212,182453,34610,23790.428571428572,595.0,1128.142857142857
2020.06.21,20972,182893,34634,23033.0,464.0,973.1428571428571
2020.06.22,20637,183426,34657,22279.85714285714,556.0,957.4285714285714
2020.06.23,19573,184585,34675,21566.14285714286,1177.0,904.1428571428571
2020.06.24,18655,186111,34644,20813.285714285714,1495.0,978.8571428571429
2020.06.25,18303,186725,34678,20127.85714285714,648.0,906.4285714285714
2020.06.26,17638,187615,34708,19570.0,920.0,836.4285714285714
2020.06.27,16836,188584,34716,18944.85714285714,977.0,891.0
2020.06.28,16681,188891,34738,18331.85714285714,329.0,871.7142857142857
2020.06.29,16496,189196,34744,17740.285714285714,311.0,836.7142857142857
2020.06.30,15563,190248,34767,17167.428571428572,1075.0,822.1428571428571
2020.07.01,15255,190717,34788,16681.714285714286,490.0,678.5714285714286
2020.07.02,15060,191083,34818,16218.42857142857,396.0,642.5714285714286
2020.07.03,14884,191467,34833,15825.0,399.0,568.1428571428571
2020.07.04,14621,191944,34854,15508.57142857143,498.0,499.7142857142857
2020.07.05,14642,192108,34861,15217.285714285714,171.0,477.14285714285717
2020.07.06,14709,192241,34869,14962.0,141.0,452.85714285714283
2020.07.07,14242,192815,34899,14773.285714285714,604.0,385.57142857142856
2020.07.08,13595,193640,34914,14536.142857142857,840.0,435.57142857142856
2020.07.09,13459,193978,34926,14307.42857142857,350.0,429.0
2020.07.10,13428,194273,34938,14099.42857142857,307.0,415.85714285714283
2020.07.11,13303,194579,34945,13911.142857142857,313.0,389.42857142857144
2020.07.12,13179,194928,34954,13702.142857142857,358.0,416.14285714285717
2020.07.13,13157,195106,34967,13480.42857142857,191.0,423.2857142857143
2020.07.14,12919,195441,34984,13291.42857142857,352.0,387.2857142857143
2020.07.15,12493,196016,34997,13134.0,588.0,351.2857142857143
2020.07.16,12473,196246,35017,12993.142857142857,250.0,337.0
2020.07.17,12456,196483,35028,12854.285714285714,248.0,328.57142857142856
2020.07.18,12368,196806,35042,12720.714285714286,337.0,332.0
2020.07.19,12440,196949,35045,12615.142857142857,146.0,301.7142857142857
2020.07.20,12404,197162,35058,12507.57142857143,226.0,306.7142857142857
2020.07.21,12248,197431,35073,12411.714285714286,284.0,297.0
2020.07.22,12322,197628,35082,12387.285714285714,206.0,242.42857142857142
2020.07.23,12404,197842,35092,12377.42857142857,224.0,238.71428571428572
2020.07.24,12301,198192,35097,12355.285714285714,355.0,254.0
2020.07.25,12442,198320,35102,12365.857142857143,133.0,224.85714285714286
2020.07.26,12565,198446,35107,12383.714285714286,131.0,222.71428571428572
2020.07.27,12581,198593,35112,12409.0,152.0,212.14285714285714
2020.07.28,12609,198756,35123,12460.57142857143,174.0,196.42857142857142
2020.07.29,12616,199031,35129,12502.57142857143,281.0,207.14285714285714
2020.07.30,12230,199796,35132,12477.714285714286,768.0,284.85714285714283
2020.07.31,12422,199974,35141,12495.0,187.0,260.85714285714283
2020.08.01,12457,200229,35146,12497.142857142857,260.0,279.0
2020.08.02,12456,200460,35154,12481.57142857143,239.0,294.42857142857144
2020.08.03,12474,200589,35166,12466.285714285714,141.0,292.85714285714283
2020.08.04,12482,200766,35171,12448.142857142857,182.0,294.0
2020.08.05,12646,200976,35181,12452.42857142857,220.0,285.2857142857143
2020.08.06,12694,201323,35187,12518.714285714286,353.0,226.0
2020.08.07,12924,201642,35190,12590.42857142857,322.0,245.28571428571428
2020.08.08,12953,201947,35203,12661.285714285714,318.0,253.57142857142858
2020.08.09,13263,202098,35205,12776.57142857143,153.0,241.28571428571428
2020.08.10,13368,202248,35209,12904.285714285714,154.0,243.14285714285714
2020.08.11,13561,202461,35215,13058.42857142857,219.0,248.42857142857142
2020.08.12,13791,202697,35225,13222.0,246.0,252.14285714285714
2020.08.13,14081,202923,35231,13420.142857142857,232.0,234.85714285714286
2020.08.14,14249,203326,35234,13609.42857142857,406.0,246.85714285714286
2020.08.15,14406,203640,35392,13817.0,472.0,268.85714285714283
2020.08.16,14733,203786,35396,14027.0,150.0,268.42857142857144
2020.08.17,14867,203968,35400,14241.142857142857,186.0,273.0
2020.08.18,15089,204142,35405,14459.42857142857,179.0,267.2857142857143
2020.08.19,15360,204506,35412,14683.57142857143,371.0,285.14285714285717
2020.08.20,16014,204686,35418,14959.714285714286,186.0,278.57142857142856
2020.08.21,16678,204960,35427,15306.714285714286,283.0,261.0
2020.08.22,17503,205203,35430,15749.142857142857,246.0,228.71428571428572
2020.08.23,18438,205470,35437,16278.42857142857,274.0,246.42857142857142
2020.08.24,19195,205662,35441,16896.714285714286,196.0,247.85714285714286
2020.08.25,19714,206015,35445,17557.428571428572,357.0,273.2857142857143
2020.08.26,20753,206329,35458,18327.85714285714,327.0,267.0
2020.08.27,21932,206554,35463,19173.285714285714,230.0,273.2857142857143
2020.08.28,23035,206902,35472,20081.428571428572,357.0,283.85714285714283
2020.08.29,24156,207224,35473,21031.85714285714,323.0,294.85714285714283
2020.08.30,25205,207536,35477,21998.571428571428,316.0,300.85714285714283
2020.08.31,26078,207653,35483,22981.85714285714,123.0,290.42857142857144
2020.09.01,26754,207944,35491,23987.571428571428,299.0,282.14285714285717
2020.09.02,27817,208201,35497,24996.714285714286,263.0,273.0
2020.09.03,28915,208490,35507,25994.285714285714,299.0,282.85714285714283
2020.09.04,30099,209027,35518,27003.428571428572,548.0,310.14285714285717
2020.09.05,31194,209610,35533,28008.85714285714,598.0,349.42857142857144
2020.09.06,32078,210015,35541,28990.714285714286,413.0,363.2857142857143
2020.09.07,32993,210238,35553,29978.571428571428,235.0,379.2857142857143
2020.09.08,33789,210801,35563,30983.571428571428,573.0,418.42857142857144
2020.09.09,34734,211272,35577,31971.714285714286,485.0,450.14285714285717
2020.09.10,35708,211885,35587,32942.142857142855,623.0,496.42857142857144
2020.09.11,36767,212432,35597,33894.71428571428,557.0,497.7142857142857
2020.09.12,37503,213191,35603,34796.0,765.0,521.5714285714286
2020.09.13,38509,213634,35610,35714.71428571428,450.0,526.8571428571429
2020.09.14,39187,213950,35624,36599.57142857143,330.0,540.4285714285714
2020.09.15,39712,214645,35633,37445.71428571428,704.0,559.1428571428571
2020.09.16,40532,215265,35645,38274.0,632.0,580.1428571428571
2020.09.17,41413,215954,35658,39089.0,702.0,591.4285714285714
2020.09.18,42457,216807,35668,39901.857142857145,863.0,635.1428571428571
2020.09.19,43161,217716,35692,40710.142857142855,933.0,659.1428571428571
2020.09.20,44098,218351,35707,41508.57142857143,650.0,687.7142857142857
2020.09.21,45079,218703,35724,42350.28571428572,369.0,693.2857142857143
2020.09.22,45489,219670,35738,43175.57142857143,981.0,732.8571428571429
2020.09.23,46114,220665,35758,43973.0,1015.0,787.5714285714286
2020.09.24,46780,221762,35781,44739.71428571428,1120.0,847.2857142857143
2020.09.25,47718,222716,35801,45491.28571428572,974.0,863.1428571428571
2020.09.26,48593,223693,35818,46267.28571428572,994.0,871.8571428571429
2020.09.27,49618,224417,35835,47055.857142857145,741.0,884.8571428571429
2020.09.28,50323,225190,35851,47805.0,789.0,944.8571428571429
2020.09.29,50630,226506,35875,48539.42857142857,1340.0,996.1428571428571
2020.09.30,51263,227704,35894,49275.0,1217.0,1025.0
2020.10.01,52647,228844,35918,50113.142857142855,1164.0,1031.2857142857142
2020.10.02,53997,229970,35941,51010.142857142855,1149.0,1056.2857142857142
2020.10.03,55566,231217,35968,52006.28571428572,1274.0,1096.2857142857142
2020.10.04,57429,231914,35986,53122.142857142855,715.0,1092.5714285714287
2020.10.05,58903,232681,36002,54347.857142857145,783.0,1091.7142857142858
2020.10.06,60134,234099,36030,55705.57142857143,1446.0,1106.857142857143
2020.10.07,62576,235303,36061,57321.71428571428,1235.0,1109.4285714285713
2020.10.08,65952,236363,36083,59222.42857142857,1082.0,1097.7142857142858
2020.10.09,70110,237549,36111,61524.28571428572,1214.0,1107.0
2020.10.10,74829,238525,36140,64276.142857142855,1005.0,1068.5714285714287
2020.10.11,79075,239709,36166,67368.42857142857,1210.0,1139.2857142857142
2020.10.12,82764,240600,36205,70777.14285714286,930.0,1160.2857142857142
2020.10.13,87193,242028,36246,74642.71428571429,1469.0,1163.5714285714287
2020.10.14,92445,244065,36289,78909.71428571429,2080.0,1284.2857142857142
2020.10.15,99266,245964,36372,83668.85714285714,1982.0,1412.857142857143
2020.10.16,107312,247872,36427,88983.42857142857,1963.0,1519.857142857143
2020.10.17,116935,249127,36474,94998.57142857143,1302.0,1562.2857142857142
2020.10.18,126237,251461,36543,101736.0,2403.0,1732.7142857142858
2020.10.19,134003,252959,36616,109055.85714285714,1571.0,1824.2857142857142
2020.10.20,142739,255005,36705,116991.0,2135.0,1919.4285714285713
2020.10.21,155442,257374,36832,125990.57142857143,2496.0,1978.857142857143
